Category,Rating,App_Type
ART_AND_DESIGN,4.1,Free
ART_AND_DESIGN,3.9,Free
ART_AND_DESIGN,4.7,Free
ART_AND_DESIGN,4.5,Free
ART_AND_DESIGN,4.3,Free
ART_AND_DESIGN,4.4,Free
ART_AND_DESIGN,3.8,Free
ART_AND_DESIGN,4.1,Free
ART_AND_DESIGN,4.4,Free
ART_AND_DESIGN,4.7,Free
ART_AND_DESIGN,4.4,Free
ART_AND_DESIGN,4.4,Free
ART_AND_DESIGN,4.2,Free
ART_AND_DESIGN,4.6,Free
ART_AND_DESIGN,4.4,Free
ART_AND_DESIGN,3.2,Free
ART_AND_DESIGN,4.7,Free
ART_AND_DESIGN,4.5,Free
ART_AND_DESIGN,4.3,Free
ART_AND_DESIGN,4.6,Free
ART_AND_DESIGN,4.0,Free
ART_AND_DESIGN,4.1,Free
ART_AND_DESIGN,4.7,Free
ART_AND_DESIGN,4.7,Free
ART_AND_DESIGN,4.8,Free
ART_AND_DESIGN,4.7,Free
ART_AND_DESIGN,4.1,Free
ART_AND_DESIGN,3.9,Free
ART_AND_DESIGN,4.1,Free
ART_AND_DESIGN,4.2,Free
ART_AND_DESIGN,4.1,Free
ART_AND_DESIGN,4.5,Free
ART_AND_DESIGN,4.2,Free
ART_AND_DESIGN,4.7,Free
ART_AND_DESIGN,3.8,Free
ART_AND_DESIGN,4.7,Free
ART_AND_DESIGN,4.1,Free
ART_AND_DESIGN,4.7,Free
ART_AND_DESIGN,4.0,Free
ART_AND_DESIGN,4.2,Free
ART_AND_DESIGN,4.5,Free
ART_AND_DESIGN,4.4,Free
ART_AND_DESIGN,3.8,Free
ART_AND_DESIGN,4.2,Free
ART_AND_DESIGN,4.7,Free
ART_AND_DESIGN,4.6,Free
ART_AND_DESIGN,4.2,Free
ART_AND_DESIGN,4.3,Free
AUTO_AND_VEHICLES,4.2,Free
AUTO_AND_VEHICLES,4.0,Free
AUTO_AND_VEHICLES,3.8,Free
AUTO_AND_VEHICLES,4.6,Free
AUTO_AND_VEHICLES,3.9,Free
AUTO_AND_VEHICLES,4.3,Free
AUTO_AND_VEHICLES,4.9,Free
AUTO_AND_VEHICLES,4.4,Free
AUTO_AND_VEHICLES,4.2,Free
AUTO_AND_VEHICLES,4.0,Free
AUTO_AND_VEHICLES,3.9,Free
AUTO_AND_VEHICLES,4.6,Free
AUTO_AND_VEHICLES,4.9,Free
AUTO_AND_VEHICLES,4.3,Free
AUTO_AND_VEHICLES,4.6,Free
AUTO_AND_VEHICLES,4.9,Free
AUTO_AND_VEHICLES,3.9,Free
AUTO_AND_VEHICLES,4.0,Free
AUTO_AND_VEHICLES,4.3,Free
AUTO_AND_VEHICLES,3.9,Free
AUTO_AND_VEHICLES,4.2,Free
AUTO_AND_VEHICLES,4.8,Free
AUTO_AND_VEHICLES,3.6,Free
AUTO_AND_VEHICLES,4.2,Free
AUTO_AND_VEHICLES,4.8,Free
AUTO_AND_VEHICLES,4.8,Free
AUTO_AND_VEHICLES,4.6,Free
AUTO_AND_VEHICLES,4.5,Free
AUTO_AND_VEHICLES,4.3,Free
AUTO_AND_VEHICLES,4.5,Free
AUTO_AND_VEHICLES,4.9,Free
AUTO_AND_VEHICLES,3.9,Free
