Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
42,No,Travel_Frequently,1053,Research & Development,1,2,Medical,1,1,1,Female,44,4,1,Manufacturing Director,2,Married,3830,14878,0,Y,No,11,3,1,80,0,2,4,1,2,1,0,2
23,No,Non-Travel,1235,Human Resources,9,4,Life Sciences,1,2,4,Male,79,4,2,Manager,3,Single,4744,10420,0,Y,No,11,3,3,80,0,9,3,2,0,0,0,0
46,Yes,Travel_Rarely,1008,Research & Development,7,3,Life Sciences,1,3,3,Female,30,1,1,Healthcare Representative,1,Married,2969,8306,1,Y,No,11,3,2,80,2,10,4,3,10,5,1,0
28,Yes,Travel_Frequently,443,Research & Development,7,2,Life Sciences,1,4,3,Male,80,2,4,Laboratory Technician,1,Married,9631,12531,2,Y,No,16,3,3,80,0,4,4,3,4,4,2,2
33,No,Travel_Frequently,929,Sales,3,4,Life Sciences,1,5,1,Male,63,3,2,Sales Executive,4,Single,4857,9054,1,Y,No,11,3,4,80,1,25,2,4,0,0,0,0
39,No,Travel_Rarely,1304,Sales,9,3,Medical,1,6,3,Male,71,4,4,Sales Representative,4,Single,8099,22267,2,Y,No,15,3,3,80,0,7,3,3,6,3,1,5
54,Yes,Travel_Rarely,780,Sales,15,4,Life Sciences,1,7,1,Female,91,3,1,Sales Representative,2,Single,2141,15250,1,Y,No,21,3,4,80,0,2,0,3,2,1,0,2
60,Yes,Travel_Rarely,235,Research & Development,29,3,Life Sciences,1,8,1,Female,61,3,2,Healthcare Representative,3,Married,4690,19611,5,Y,Yes,19,3,3,80,1,10,2,4,6,6,1,0
42,No,Travel_Rarely,1155,Research & Development,16,4,Human Resources,1,9,3,Male,90,1,1,Healthcare Representative,2,Married,1467,21576,7,Y,Yes,11,3,3,80,0,17,2,2,2,2,1,2
35,No,Travel_Rarely,976,Research & Development,7,4,Medical,1,10,2,Female,83,3,1,Laboratory Technician,4,Single,2385,21949,2,Y,No,11,3,4,80,0,11,5,3,5,4,5,0
41,No,Travel_Rarely,1097,Sales,1,1,Marketing,1,11,2,Male,87,2,1,Sales Representative,3,Divorced,3377,7533,3,Y,No,12,3,1,80,1,14,2,3,6,6,2,0
44,No,Travel_Rarely,486,Human Resources,10,4,Life Sciences,1,12,3,Female,53,2,1,Human Resources,1,Married,1009,5359,8,Y,No,11,3,1,80,0,4,3,2,0,0,0,0
34,No,Non-Travel,699,Research & Development,24,3,Life Sciences,1,13,1,Female,56,3,2,Manufacturing Director,4,Married,5727,4062,3,Y,Yes,11,4,3,80,1,21,3,3,6,3,0,5
53,No,Travel_Rarely,110,Sales,2,1,Medical,1,14,2,Female,50,3,2,Sales Executive,3,Single,5397,9607,9,Y,No,14,4,3,80,0,14,4,3,0,0,0,0
