iter	Passed	Remaining
0	100	20017
1	122	12144
2	131	8621
3	141	6924
4	155	6078
5	170	5511
6	187	5165
7	202	4849
8	214	4549
9	230	4372
10	249	4286
11	263	4126
12	274	3945
13	285	3793
14	295	3648
15	304	3499
16	315	3391
17	328	3323
18	340	3245
19	350	3158
20	364	3109
21	388	3145
22	407	3133
23	434	3185
24	453	3175
25	474	3177
26	488	3126
27	501	3081
28	511	3017
29	526	2983
30	538	2937
31	547	2873
32	555	2809
33	563	2753
34	578	2727
35	590	2691
36	605	2667
37	622	2655
38	635	2623
39	651	2607
40	666	2585
41	679	2554
42	688	2513
43	695	2465
44	704	2425
45	715	2396
46	729	2373
47	738	2338
48	745	2296
49	757	2273
50	763	2231
51	771	2194
52	777	2156
53	789	2133
54	795	2097
55	809	2082
56	825	2070
57	835	2045
58	843	2016
59	859	2004
60	873	1989
61	892	1986
62	905	1968
63	915	1945
64	932	1936
65	940	1910
66	950	1886
67	960	1864
68	969	1839
69	975	1812
70	983	1787
71	991	1763
72	1006	1751
73	1021	1738
74	1038	1731
75	1067	1741
76	1084	1731
77	1103	1725
78	1122	1718
79	1141	1712
80	1157	1700
81	1166	1678
82	1185	1670
83	1202	1660
84	1217	1647
85	1230	1631
86	1248	1621
87	1263	1607
88	1305	1627
89	1327	1622
90	1354	1622
91	1401	1644
92	1448	1666
93	1466	1654
94	1486	1642
95	1504	1629
96	1519	1613
97	1528	1590
98	1537	1568
99	1548	1548
100	1560	1529
101	1569	1508
102	1581	1489
103	1592	1469
104	1602	1449
105	1612	1430
106	1622	1409
107	1632	1390
108	1642	1371
109	1652	1352
110	1661	1332
111	1677	1317
112	1686	1298
113	1694	1278
114	1702	1258
115	1711	1239
116	1719	1220
117	1732	1203
118	1743	1186
119	1766	1177
120	1780	1162
121	1787	1142
122	1794	1123
123	1801	1103
124	1809	1085
125	1815	1066
126	1822	1047
127	1829	1029
128	1836	1010
129	1847	994
130	1852	975
131	1861	958
132	1869	941
133	1876	924
134	1883	907
135	1890	889
136	1897	872
137	1904	855
138	1914	840
139	1922	823
140	1930	807
141	1940	792
142	1948	776
143	1955	760
144	1963	744
145	1969	728
146	1983	715
147	1992	700
148	2001	685
149	2010	670
150	2016	654
151	2025	639
152	2033	624
153	2042	610
154	2049	595
155	2056	580
156	2067	566
157	2076	551
158	2086	538
159	2095	523
160	2102	509
161	2115	496
162	2124	482
163	2133	468
164	2140	454
165	2148	440
166	2155	425
167	2162	411
168	2171	398
169	2180	384
170	2187	370
171	2194	357
172	2202	343
173	2211	330
174	2219	317
175	2227	303
176	2234	290
177	2247	277
178	2261	265
179	2272	252
180	2286	240
181	2298	227
182	2307	214
183	2314	201
184	2320	188
185	2330	175
186	2337	162
187	2345	149
188	2353	136
189	2360	124
190	2371	111
191	2378	99
192	2385	86
193	2393	74
194	2400	61
195	2408	49
196	2416	36
197	2424	24
198	2432	12
199	2439	0
